pagina,testo
117,"III DOMENICA

SECONDA LETTURA

Annunciamo Cristo crocifisso, scandalo per gli uomini,
ma, per coloro che sono chiamati, sapienza di Dio.

Dalla prima lettera di san Paolo apostolo ai Corìnzi
1, 22-25

Fratelli, mentre i Giudei chiedono segni e i Greci cercano sapienza, noi invece annunciamo Cristo crocifisso: scandalo per i Giudei e stoltezza per i pagani;

ma per coloro che sono chiamati, sia Giudei che Greci, Cristo
è potenza di Dio e sapienza di Dio.
Infatti ciò che è stoltezza di Dio è più sapiente degli uomini,
e ciò che è debolezza di Dio è più forte degli uomini.
Parola di Dio.

CANTO AL VANGELO
Cf. Gv 3, 16

Lode e onore a te, Signore Gesù!
Dio ha tanto amato il mondo da dare il Figlio unigenito;
chiunque crede in lui ha la vita eterna.
Lode e onore a te, Signore Gesù!"
118,"
VANGELO

Distruggete questo tempio
e in tre giorni lo farò risorgere.

Dal Vangelo secondo Giovanni
2, 13-25

Si avvicinava la Pasqua dei Giudei e Gesù salì a

Gerusalemme. Trovò nel tempio gente che vendeva buoi, pecore e colombe e, là seduti, i
cambiamonete. Allora fece una frusta di cordicelle e scacciò tutti fuori del tempio, con le
pecore e i buoi; gettò a terra il denaro dei cambiamonete e ne rovesciò i banchi, e ai venditori di colombe
disse: «Portate via di qui queste cose e non fate della casa
del Padre mio un mercato!». I suoi discepoli si ricordarono
che sta scritto: «Lo zelo per la tua casa mi divorerà».
Allora i Giudei presero la parola e gli dissero: «Quale segno ci
mostri per fare queste cose?». Rispose loro Gesù: «Distruggete questo tempio e in tre giorni lo farò risorgere». Gli dissero
allora i Giudei: «Questo tempio è stato costruito in quarantasei anni e tu in tre giorni lo farai risorgere?». Ma egli parlava
del tempio del suo corpo.
Quando poi fu risuscitato dai morti, i suoi discepoli si ricordarono che aveva detto questo e credettero alla Scrittura e alla parola detta da Gesù.
Mentre era a Gerusalemme per la Pasqua, durante la festa,
molti, vedendo i segni che egli compiva, credettero nel suo
nome. Ma lui, Gesù, non si fidava di loro, perché conosceva
"
119,"III DOMENICA

tutti e non aveva bisogno che alcuno desse testimonianza
sull’uomo. Egli infatti conosceva quello che c’è nell’uomo.
Parola del Signore.
"
120,"IV DOMENICA
DI QUARESIMA

PRIMA LETTURA
Con l’esilio e la liberazione del popolo
si manifesta l’ira e la misericordia del Signore.

Dal secondo libro delle Cronache
36, 14-16.19-23

In quei giorni, tutti i capi di Giuda, i sacerdoti e il

popolo moltiplicarono le loro infedeltà, imitando in
tutto gli abomini degli altri popoli, e contaminarono
il tempio, che il Signore si era consacrato a Gerusalemme.
Il Signore, Dio dei loro padri, mandò premurosamente e incessantemente i suoi messaggeri ad ammonirli, perché aveva
compassione del suo popolo e della sua dimora. Ma essi si
beffarono dei messaggeri di Dio, disprezzarono le sue parole
e schernirono i suoi profeti al punto che l’ira del Signore contro il suo popolo raggiunse il culmine, senza più rimedio.
Quindi [i suoi nemici] incendiarono il tempio del Signore, demolirono le mura di Gerusalemme e diedero alle fiamme tutti
i suoi palazzi e distrussero tutti i suoi oggetti preziosi.
Il re [dei Caldèi] deportò a Babilonia gli scampati alla spada,
che divennero schiavi suoi e dei suoi figli fino all’avvento del
regno persiano, attuandosi così la parola del Signore per boc-
"
121,"IV DOMENICA

ca di Geremìa: «Finché la terra non abbia scontato i suoi sabati, essa riposerà per tutto il tempo della desolazione fino
al compiersi di settanta anni».
Nell’anno primo di Ciro, re di Persia, perché si adempisse la
parola del Signore pronunciata per bocca di Geremìa, il Signore suscitò lo spirito di Ciro, re di Persia, che fece proclamare
per tutto il suo regno, anche per iscritto: «Così dice Ciro, re
di Persia: “Il Signore, Dio del cielo, mi ha concesso tutti i regni della terra. Egli mi ha incaricato di costruirgli un tempio
a Gerusalemme, che è in Giuda. Chiunque di voi appartiene al
suo popolo, il Signore, suo Dio, sia con lui e salga!”».
Parola di Dio.
"
122,"
SALMO RESPONSORIALE
Dal Salmo 136 (137)

Il ricordo di te, Signore, è la nostra gioia.
Lungo i fiumi di Babilonia,
là sedevamo e piangevamo
ricordandoci di Sion.
Ai salici di quella terra
appendemmo le nostre cetre.
Perché là ci chiedevano parole di canto
coloro che ci avevano deportato,
allegre canzoni, i nostri oppressori:
«Cantateci canti di Sion!».
Come cantare i canti del Signore
in terra straniera?
Se mi dimentico di te, Gerusalemme,
si dimentichi di me la mia destra.
Mi si attacchi la lingua al palato
se lascio cadere il tuo ricordo,
se non innalzo Gerusalemme
al di sopra di ogni mia gioia.
"
123,
124,
125,"IV DOMENICA

SECONDA LETTURA

Morti per le colpe, siamo stati salvati per grazia.

Dalla lettera di san Paolo apostolo agli Efesìni
2, 4-10

Fsalvati.


ratelli, Dio, ricco di misericordia, per il grande amore
con il quale ci ha amato, da morti che eravamo per le
colpe, ci ha fatto rivivere con Cristo: per grazia siete

Con lui ci ha anche risuscitato e ci ha fatto sedere nei cieli,
in Cristo Gesù, per mostrare nei secoli futuri la straordinaria
ricchezza della sua grazia mediante la sua bontà verso di noi
in Cristo Gesù.
Per grazia infatti siete salvati mediante la fede; e ciò non
viene da voi, ma è dono di Dio; né viene dalle opere, perché
nessuno possa vantarsene. Siamo infatti opera sua, creati in
Cristo Gesù per le opere buone, che Dio ha preparato perché
in esse camminassimo.
Parola di Dio.
CANTO AL VANGELO
Cf. Gv 3, 16

Lode e onore a te, Signore Gesù!
Dio ha tanto amato il mondo da dare il Figlio unigenito;
chiunque crede in lui ha la vita eterna.
Lode e onore a te, Signore Gesù!"
126,"
VANGELO

Dio ha mandato il Figlio
perché il mondo si salvi per mezzo di lui.

Dal Vangelo secondo Giovanni
3, 14-21

In quel tempo, Gesù disse a Nicodèmo:

«Come Mosè innalzò il serpente nel deserto,
così bisogna che sia innalzato il Figlio dell’uomo, perché chiunque crede in lui abbia la vita
eterna.

Dio infatti ha tanto amato il mondo da dare il Figlio unigenito perché chiunque crede in lui non vada perduto, ma abbia la
vita eterna. Dio, infatti, non ha mandato il Figlio nel mondo
per condannare il mondo, ma perché il mondo sia salvato per
mezzo di lui. Chi crede in lui non è condannato; ma chi non
crede è già stato condannato, perché non ha creduto nel nome dell’unigenito Figlio di Dio.
opere erano malvagie. Chiunque infatti fa il male, odia la luce,
e non viene alla luce perché le sue opere non vengano riprovate. Invece chi fa la verità viene verso la luce, perché appaia
chiaramente che le sue opere sono state fatte in Dio».
Parola del Signore.
"
127,"V DOMENICA
DI QUARESIMA

PRIMA LETTURA
Concluderò un’alleanza nuova
e non ricorderò più il peccato.

Dal libro del profeta Geremìa
31, 31-34

Ecco, verranno giorni – oracolo del Signore –, nei

quali con la casa d’Israele e con la casa di Giuda
concluderò un’alleanza nuova. Non sarà come l’alleanza che ho concluso con i loro padri, quando li presi per
mano per farli uscire dalla terra d’Egitto, alleanza che essi
hanno infranto, benché io fossi loro Signore. Oracolo del
Signore.
Questa sarà l’alleanza che concluderò con la casa d’Israele dopo quei giorni – oracolo del Signore –: porrò la mia legge
dentro di loro, la scriverò sul loro cuore. Allora io sarò il loro
Dio ed essi saranno il mio popolo. Non dovranno più istruirsi
l’un l’altro, dicendo: «Conoscete il Signore», perché tutti mi
conosceranno, dal più piccolo al più grande – oracolo del Signore –, poiché io perdonerò la loro iniquità e non ricorderò
più il loro peccato.
Parola di Dio."
128,"
SALMO RESPONSORIALE
Dal Salmo 50 (51)

Crea in me, o Dio, un cuore puro.
Pietà di me, o Dio, nel tuo amore;
nella tua grande misericordia
cancella la mia iniquità.
Lavami tutto dalla mia colpa,
dal mio peccato rendimi puro.
Crea in me, o Dio, un cuore puro,
rinnova in me uno spirito saldo.
Non scacciarmi dalla tua presenza
e non privarmi del tuo santo spirito.
Rendimi la gioia della tua salvezza,
sostienimi con uno spirito generoso.
Insegnerò ai ribelli le tue vie
e i peccatori a te ritorneranno.
"
129,"V DOMENICA

SECONDA LETTURA

Imparò l’obbedienza
e divenne causa di salvezza eterna.

Dalla lettera agli Ebrei
5, 7-9

Cristo, nei giorni della sua vita terrena, offrì preghiere e suppliche, con forti grida e lacrime, a Dio che

poteva salvarlo da morte e, per il suo pieno abbandono a lui, venne esaudito.
Pur essendo Figlio, imparò l’obbedienza da ciò che patì e, reso perfetto, divenne causa di salvezza eterna per tutti coloro
che gli obbediscono.
Parola di Dio.

CANTO AL VANGELO
Gv 12, 26

Lode e onore a te, Signore Gesù!
Se uno mi vuole servire, mi segua, dice il Signore,
e dove sono io, là sarà anche il mio servitore.
Lode e onore a te, Signore Gesù!
"
130,"
VANGELO

Se il chicco di grano caduto in terra muore,
produce molto frutto.

Dal Vangelo secondo Giovanni
12, 20-33

In quel tempo, tra quelli che erano saliti per il

culto durante la festa c’erano anche alcuni Greci. Questi si avvicinarono a Filippo, che era di
Betsàida di Galilea, e gli domandarono: «Signore, vogliamo vedere Gesù».

Filippo andò a dirlo ad Andrea, e poi Andrea e Filippo andarono a dirlo a Gesù. Gesù rispose loro: «È venuta l’ora che il Figlio dell’uomo sia glorificato. In verità, in verità io vi dico: se
il chicco di grano, caduto in terra, non muore, rimane solo; se
invece muore, produce molto frutto. Chi ama la propria vita,
la perde e chi odia la propria vita in questo mondo, la conserverà per la vita eterna. Se uno mi vuole servire, mi segua, e
dove sono io, là sarà anche il mio servitore. Se uno serve me,
il Padre lo onorerà. Adesso l’anima mia è turbata; che cosa
dirò? Padre, salvami da quest’ora? Ma proprio per questo sono
giunto a quest’ora! Padre, glorifica il tuo nome».
Venne allora una voce dal cielo: «L’ho glorificato e lo glorificherò ancora!».
La folla, che era presente e aveva udito, diceva che era stato
un tuono. Altri dicevano: «Un angelo gli ha parlato». Disse
Gesù: «Questa voce non è venuta per me, ma per voi. Ora è il
giudizio di questo mondo; ora il principe di questo mondo
"
131,"V DOMENICA

sarà gettato fuori. E io, quando sarò innalzato da terra, attirerò tutti a me». Diceva questo per indicare di quale morte
doveva morire.
Parola del Signore.
"
132,"DOMENICA DELLE PALME:
PASSIONE DEL SIGNORE
Alla commemorazione
dell’ingresso del Signore
in Gerusalemme

VANGELO
Benedetto colui che viene nel nome del Signore.

Dal Vangelo secondo Marco
11, 1-10

Quando furono vicini a Gerusalemme, verso

Bètfage e Betània, presso il monte degli Ulivi,
Gesù mandò due dei suoi discepoli e disse loro: «Andate nel villaggio di fronte a voi e subito, entrando in esso, troverete un puledro
legato, sul quale nessuno è ancora salito. Slegatelo e portatelo qui. E se qualcuno vi dirà: “Perché fate
questo?”, rispondete: “Il Signore ne ha bisogno, ma lo rimanderà qui subito”».
Andarono e trovarono un puledro legato vicino a una porta,
fuori sulla strada, e lo slegarono. Alcuni dei presenti dissero
loro: «Perché slegate questo puledro?». Ed essi risposero loro
come aveva detto Gesù. E li lasciarono fare.
Portarono il puledro da Gesù, vi gettarono sopra i loro mantelli ed egli vi salì sopra. Molti stendevano i propri mantelli
sulla strada, altri invece delle fronde, tagliate nei campi.
Quelli che precedevano e quelli che seguivano, gridavano:
"
133,
134,
135,"DOMENICA DELLE PALME: PASSIONE DEL SIGNORE

«Osanna!
Benedetto colui che viene nel nome del Signore!
Benedetto il Regno che viene, del nostro padre Davide!
Osanna nel più alto dei cieli!».
Parola del Signore.
Oppure:
Benedetto colui che viene nel nome del Signore.

Dal Vangelo secondo Giovanni
12, 12-16

In quel tempo, la grande folla che era venuta

per la festa, udito che Gesù veniva a Gerusalemme, prese dei rami di palme e uscì incontro
a lui gridando:

«Osanna!
Benedetto colui che viene nel nome del Signore,
il re d’Israele!».
Gesù, trovato un asinello, vi montò sopra, come sta scritto:
«Non temere, figlia di Sion!
Ecco, il tuo re viene,
seduto su un puledro d’asina».
I suoi discepoli sul momento non compresero queste cose; ma,
quando Gesù fu glorificato, si ricordarono che di lui erano state scritte queste cose e che a lui essi le avevano fatte.
Parola del Signore."
136,"SETTIMANA SANTA

Alla Messa

PRIMA LETTURA
Non ho sottratto la faccia agli insulti e agli sputi,
sapendo di non restare confuso.
(Terzo canto del Servo del Signore)

Dal libro del profeta Isaìa
50, 4-7

Il Signore Dio mi ha dato una lingua da discepolo,

perché io sappia indirizzare
una parola allo sfiduciato.

Ogni mattina fa attento il mio orecchio
perché io ascolti come i discepoli.
Il Signore Dio mi ha aperto l’orecchio
e io non ho opposto resistenza,
non mi sono tirato indietro.
Ho presentato il mio dorso ai flagellatori,
le mie guance a coloro che mi strappavano la barba;
non ho sottratto la faccia
agli insulti e agli sputi.
Il Signore Dio mi assiste,
per questo non resto svergognato,
per questo rendo la mia faccia dura come pietra,
sapendo di non restare confuso.
Parola di Dio.
"
137,"DOMENICA DELLE PALME: PASSIONE DEL SIGNORE

SALMO RESPONSORIALE
Dal Salmo 21 (22)

Dio mio, Dio mio, perché mi hai abbandonato?
storcono le labbra, scuotono il capo:
«Si rivolga al Signore; lui lo liberi,
lo porti in salvo, se davvero lo ama!».
Un branco di cani mi circonda,
mi accerchia una banda di malfattori;
hanno scavato le mie mani e i miei piedi.
Posso contare tutte le mie ossa.
Si dividono le mie vesti,
sulla mia tunica gettano la sorte.
Ma tu, Signore, non stare lontano,
mia forza, vieni presto in mio aiuto.
Annuncerò il tuo nome ai miei fratelli,
ti loderò in mezzo all’assemblea.
Lodate il Signore, voi suoi fedeli,
gli dia gloria tutta la discendenza di Giacobbe,
lo tema tutta la discendenza d’Israele.
"
138,"SETTIMANA SANTA

SECONDA LETTURA

Cristo umiliò se stesso, per questo Dio lo esaltò.

Dalla lettera di san Paolo apostolo ai Filippési
2, 6-11

Cristo Gesù, pur essendo nella condizione di Dio,

non ritenne un privilegio
l’essere come Dio,
ma svuotò se stesso
assumendo una condizione di servo,
diventando simile agli uomini.
Dall’aspetto riconosciuto come uomo,
umiliò se stesso
facendosi obbediente fino alla morte
e a una morte di croce.
Per questo Dio lo esaltò
e gli donò il nome
che è al di sopra di ogni nome,
perché nel nome di Gesù
ogni ginocchio si pieghi
nei cieli, sulla terra e sotto terra,
e ogni lingua proclami:
«Gesù Cristo è Signore!»,
a gloria di Dio Padre.
Parola di Dio.
"
139,"DOMENICA DELLE PALME: PASSIONE DEL SIGNORE

CANTO AL VANGELO
Fil 2, 8-9

Lode e onore a te, Signore Gesù!
Per noi Cristo si è fatto obbediente fino alla morte
e a una morte di croce.
Per questo Dio lo esaltò
e gli donò il nome che è al di sopra di ogni nome.
Lode e onore a te, Signore Gesù!

VANGELO
La passione del Signore.

Passione di nostro Signore Gesù Cristo
secondo Marco
14, 1 – 15, 47

MCercavano il modo di impadronirsi di lui per ucciderlo


ancavano due giorni alla Pasqua e agli Àzzimi, e
i capi dei sacerdoti e gli scribi cercavano il modo di catturare Gesù con un inganno per farlo
morire. Dicevano infatti: «Non durante la festa,
perché non vi sia una rivolta del popolo».

Ha unto in anticipo il mio corpo per la sepoltura

Gesù si trovava a Betània, nella casa di Simone il lebbroso.
Mentre era a tavola, giunse una donna che aveva un vaso di
alabastro, pieno di profumo di puro nardo, di grande valore."
140,"SETTIMANA SANTA

Ella ruppe il vaso di alabastro e versò il profumo sul suo capo.
Ci furono alcuni, fra loro, che si indignarono: «Perché questo
spreco di profumo? Si poteva venderlo per più di trecento denari e darli ai poveri!». Ed erano infuriati contro di lei.
Allora Gesù disse: «Lasciatela stare; perché la infastidite?
Ha compiuto un’azione buona verso di me. I poveri infatti li
avete sempre con voi e potete far loro del bene quando volete, ma non sempre avete me. Ella ha fatto ciò che era in
suo potere, ha unto in anticipo il mio corpo per la sepoltura. In verità io vi dico: dovunque sarà proclamato il Vangelo,
per il mondo intero, in ricordo di lei si dirà anche quello
che ha fatto».
Promisero a Giuda Iscariota di dargli denaro

Allora Giuda Iscariota, uno dei Dodici, si recò dai capi dei sacerdoti per consegnare loro Gesù. Quelli, all’udirlo, si rallegrarono e promisero di dargli del denaro. Ed egli cercava come
consegnarlo al momento opportuno.
Dov’è la mia stanza, in cui io possa mangiare la Pasqua con i miei discepoli?

Il primo giorno degli Àzzimi, quando si immolava la Pasqua, i
suoi discepoli gli dissero: «Dove vuoi che andiamo a preparare, perché tu possa mangiare la Pasqua?». Allora mandò due
dei suoi discepoli, dicendo loro: «Andate in città e vi verrà
incontro un uomo con una brocca d’acqua; seguitelo. Là dove
entrerà, dite al padrone di casa: “Il Maestro dice: Dov’è la mia
stanza, in cui io possa mangiare la Pasqua con i miei discepoli?”. Egli vi mostrerà al piano superiore una grande sala, arredata e già pronta; lì preparate la cena per noi». I discepoli
andarono e, entrati in città, trovarono come aveva detto loro
e prepararono la Pasqua."
141,"DOMENICA DELLE PALME: PASSIONE DEL SIGNORE

Uno di voi, colui che mangia con me, mi tradirà

Venuta la sera, egli arrivò con i Dodici. Ora, mentre erano a
tavola e mangiavano, Gesù disse: «In verità io vi dico: uno di
voi, colui che mangia con me, mi tradirà». Cominciarono a
rattristarsi e a dirgli, uno dopo l’altro: «Sono forse io?». Egli
disse loro: «Uno dei Dodici, colui che mette con me la mano
nel piatto. Il Figlio dell’uomo se ne va, come sta scritto di
lui; ma guai a quell’uomo, dal quale il Figlio dell’uomo viene
tradito! Meglio per quell’uomo se non fosse mai nato!».
Questo è il mio corpo. Questo è il mio sangue dell’alleanza

E, mentre mangiavano, prese il pane e recitò la benedizione,
lo spezzò e lo diede loro, dicendo: «Prendete, questo è il mio
corpo». Poi prese un calice e rese grazie, lo diede loro e ne
bevvero tutti. E disse loro: «Questo è il mio sangue dell’alleanza, che è versato per molti. In verità io vi dico che non
berrò mai più del frutto della vite fino al giorno in cui lo
berrò nuovo, nel regno di Dio».
Prima che due volte il gallo canti, tre volte mi rinnegherai

Dopo aver cantato l’inno, uscirono verso il monte degli Ulivi.
Gesù disse loro: «Tutti rimarrete scandalizzati, perché sta
scritto:
“Percuoterò il pastore e le pecore saranno disperse”.
Ma, dopo che sarò risorto, vi precederò in Galilea». Pietro gli
disse: «Anche se tutti si scandalizzeranno, io no!». Gesù gli
disse: «In verità io ti dico: proprio tu, oggi, questa notte,
prima che due volte il gallo canti, tre volte mi rinnegherai».
Ma egli, con grande insistenza, diceva: «Anche se dovessi morire con te, io non ti rinnegherò». Lo stesso dicevano pure
tutti gli altri."
142,"SETTIMANA SANTA

Cominciò a sentire paura e angoscia

Giunsero a un podere chiamato Getsèmani, ed egli disse ai
suoi discepoli: «Sedetevi qui, mentre io prego». Prese con sé
Pietro, Giacomo e Giovanni e cominciò a sentire paura e angoscia. Disse loro: «La mia anima è triste fino alla morte. Restate qui e vegliate». Poi, andato un po’ innanzi, cadde a terra e pregava che, se fosse possibile, passasse via da lui quell’ora. E diceva: «Abbà! Padre! Tutto è possibile a te: allontana
da me questo calice! Però non ciò che voglio io, ma ciò che
vuoi tu». Poi venne, li trovò addormentati e disse a Pietro:
«Simone, dormi? Non sei riuscito a vegliare una sola ora? Vegliate e pregate per non entrare in tentazione. Lo spirito è
pronto, ma la carne è debole». Si allontanò di nuovo e pregò
dicendo le stesse parole. Poi venne di nuovo e li trovò addormentati, perché i loro occhi si erano fatti pesanti, e non sapevano che cosa rispondergli. Venne per la terza volta e disse
loro: «Dormite pure e riposatevi! Basta! È venuta l’ora: ecco,
il Figlio dell’uomo viene consegnato nelle mani dei peccatori.
Alzatevi, andiamo! Ecco, colui che mi tradisce è vicino».
Arrestatelo e conducetelo via sotto buona scorta

E subito, mentre ancora egli parlava, arrivò Giuda, uno dei
Dodici, e con lui una folla con spade e bastoni, mandata dai
capi dei sacerdoti, dagli scribi e dagli anziani. Il traditore
aveva dato loro un segno convenuto, dicendo: «Quello che bacerò, è lui; arrestatelo e conducetelo via sotto buona scorta».
Appena giunto, gli si avvicinò e disse: «Rabbì» e lo baciò.
Quelli gli misero le mani addosso e lo arrestarono. Uno dei
presenti estrasse la spada, percosse il servo del sommo sacerdote e gli staccò l’orecchio. Allora Gesù disse loro: «Come se
fossi un brigante siete venuti a prendermi con spade e basto-
"
143,"DOMENICA DELLE PALME: PASSIONE DEL SIGNORE

ni. Ogni giorno ero in mezzo a voi nel tempio a insegnare, e
non mi avete arrestato. Si compiano dunque le Scritture!».
Allora tutti lo abbandonarono e fuggirono. Lo seguiva però un
ragazzo, che aveva addosso soltanto un lenzuolo, e lo afferrarono. Ma egli, lasciato cadere il lenzuolo, fuggì via nudo.
Sei tu il Cristo, il Figlio del Benedetto?

Condussero Gesù dal sommo sacerdote, e là si riunirono tutti
i capi dei sacerdoti, gli anziani e gli scribi. Pietro lo aveva seguito da lontano, fin dentro il cortile del palazzo del sommo
sacerdote, e se ne stava seduto tra i servi, scaldandosi al fuoco. I capi dei sacerdoti e tutto il sinedrio cercavano una testimonianza contro Gesù per metterlo a morte, ma non la trovavano. Molti infatti testimoniavano il falso contro di lui e le
loro testimonianze non erano concordi. Alcuni si alzarono a
testimoniare il falso contro di lui, dicendo: «Lo abbiamo udito mentre diceva: “Io distruggerò questo tempio, fatto da
mani d’uomo, e in tre giorni ne costruirò un altro, non fatto
da mani d’uomo”». Ma nemmeno così la loro testimonianza
era concorde. Il sommo sacerdote, alzatosi in mezzo all’assemblea, interrogò Gesù dicendo: «Non rispondi nulla? Che
cosa testimoniano costoro contro di te?». Ma egli taceva e
non rispondeva nulla. Di nuovo il sommo sacerdote lo interrogò dicendogli: «Sei tu il Cristo, il Figlio del Benedetto?».
Gesù rispose: «Io lo sono!
E vedrete il Figlio dell’uomo
seduto alla destra della Potenza
e venire con le nubi del cielo».
Allora il sommo sacerdote, stracciandosi le vesti, disse: «Che
bisogno abbiamo ancora di testimoni? Avete udito la bestemmia; che ve ne pare?». Tutti sentenziarono che era reo di
"
144,"SETTIMANA SANTA

morte. Alcuni si misero a sputargli addosso, a bendargli il
volto, a percuoterlo e a dirgli: «Fa’ il profeta!». E i servi lo
schiaffeggiavano.
Non conosco quest’uomo di cui parlate

Mentre Pietro era giù nel cortile, venne una delle giovani serve del sommo sacerdote e, vedendo Pietro che stava a scaldarsi, lo guardò in faccia e gli disse: «Anche tu eri con il Nazareno, con Gesù». Ma egli negò, dicendo: «Non so e non capisco
che cosa dici». Poi uscì fuori verso l’ingresso e un gallo
cantò. E la serva, vedendolo, ricominciò a dire ai presenti:
«Costui è uno di loro». Ma egli di nuovo negava. Poco dopo i
presenti dicevano di nuovo a Pietro: «È vero, tu certo sei uno
di loro; infatti sei Galileo». Ma egli cominciò a imprecare e a
giurare: «Non conosco quest’uomo di cui parlate». E subito,
per la seconda volta, un gallo cantò. E Pietro si ricordò della
parola che Gesù gli aveva detto: «Prima che due volte il gallo
canti, tre volte mi rinnegherai». E scoppiò in pianto.
Volete che io rimetta in libertà per voi il re dei Giudei?

E subito, al mattino, i capi dei sacerdoti, con gli anziani, gli
scribi e tutto il sinedrio, dopo aver tenuto consiglio, misero
in catene Gesù, lo portarono via e lo consegnarono a Pilato.
Pilato gli domandò: «Tu sei il re dei Giudei?». Ed egli rispose: «Tu lo dici». I capi dei sacerdoti lo accusavano di molte
cose. Pilato lo interrogò di nuovo dicendo: «Non rispondi nulla? Vedi di quante cose ti accusano!». Ma Gesù non rispose
più nulla, tanto che Pilato rimase stupito.
A ogni festa, egli era solito rimettere in libertà per loro un
carcerato, a loro richiesta. Un tale, chiamato Barabba, si trovava in carcere insieme ai ribelli che nella rivolta avevano
"
145,"DOMENICA DELLE PALME: PASSIONE DEL SIGNORE

commesso un omicidio. La folla, che si era radunata, cominciò a chiedere ciò che egli era solito concedere. Pilato rispose
loro: «Volete che io rimetta in libertà per voi il re dei Giudei?». Sapeva infatti che i capi dei sacerdoti glielo avevano
consegnato per invidia. Ma i capi dei sacerdoti incitarono la
folla perché, piuttosto, egli rimettesse in libertà per loro Barabba. Pilato disse loro di nuovo: «Che cosa volete dunque
che io faccia di quello che voi chiamate il re dei Giudei?». Ed
essi di nuovo gridarono: «Crocifiggilo!». Pilato diceva loro:
«Che male ha fatto?». Ma essi gridarono più forte: «Crocifiggilo!». Pilato, volendo dare soddisfazione alla folla, rimise in
libertà per loro Barabba e, dopo aver fatto flagellare Gesù, lo
consegnò perché fosse crocifisso.
Intrecciarono una corona di spine e gliela misero attorno al capo

Allora i soldati lo condussero dentro il cortile, cioè nel pretorio, e convocarono tutta la truppa. Lo vestirono di porpora,
intrecciarono una corona di spine e gliela misero attorno al
capo. Poi presero a salutarlo: «Salve, re dei Giudei!». E gli
percuotevano il capo con una canna, gli sputavano addosso e,
piegando le ginocchia, si prostravano davanti a lui. Dopo essersi fatti beffe di lui, lo spogliarono della porpora e gli fecero indossare le sue vesti, poi lo condussero fuori per crocifiggerlo.
Condussero Gesù al luogo del Gòlgota

Costrinsero a portare la sua croce un tale che passava, un certo Simone di Cirene, che veniva dalla campagna, padre di
Alessandro e di Rufo. Condussero Gesù al luogo del Gòlgota,
che significa «Luogo del cranio», e gli davano vino mescolato
con mirra, ma egli non ne prese.
"
146,"SETTIMANA SANTA

Con lui crocifissero anche due ladroni

Poi lo crocifissero e si divisero le sue vesti, tirando a sorte su
di esse ciò che ognuno avrebbe preso. Erano le nove del mattino quando lo crocifissero. La scritta con il motivo della sua
condanna diceva: «Il re dei Giudei». Con lui crocifissero anche due ladroni, uno a destra e uno alla sua sinistra.
Ha salvato altri e non può salvare se stesso!

Quelli che passavano di là lo insultavano, scuotendo il capo e
dicendo: «Ehi, tu che distruggi il tempio e lo ricostruisci in
tre giorni, salva te stesso scendendo dalla croce!». Così anche
i capi dei sacerdoti, con gli scribi, fra loro si facevano beffe
di lui e dicevano: «Ha salvato altri e non può salvare se stesso! Il Cristo, il re d’Israele, scenda ora dalla croce, perché vediamo e crediamo!». E anche quelli che erano stati crocifissi
con lui lo insultavano.
Gesù, dando un forte grido, spirò

Quando fu mezzogiorno, si fece buio su tutta la terra fino alle
tre del pomeriggio. Alle tre, Gesù gridò a gran voce: «Eloì,
Eloì, lemà sabactàni?», che significa: «Dio mio, Dio mio, perché mi hai abbandonato?». Udendo questo, alcuni dei presenti dicevano: «Ecco, chiama Elia!». Uno corse a inzuppare di
aceto una spugna, la fissò su una canna e gli dava da bere,
dicendo: «Aspettate, vediamo se viene Elia a farlo scendere».
Ma Gesù, dando un forte grido, spirò.
Qui ci si genuflette e si fa una breve pausa.

Il velo del tempio si squarciò in due, da cima a fondo. Il centurione, che si trovava di fronte a lui, avendolo visto spirare
in quel modo, disse: «Davvero quest’uomo era Figlio di Dio!»."
147,"DOMENICA DELLE PALME: PASSIONE DEL SIGNORE

Vi erano anche alcune donne, che osservavano da lontano, tra
le quali Maria di Màgdala, Maria madre di Giacomo il minore e
di Ioses, e Salome, le quali, quando era in Galilea, lo seguivano e lo servivano, e molte altre che erano salite con lui a Gerusalemme.
Giuseppe fece rotolare una pietra all’entrata del sepolcro

Venuta ormai la sera, poiché era la Parascève, cioè la vigilia
del sabato, Giuseppe d’Arimatèa, membro autorevole del sinedrio, che aspettava anch’egli il regno di Dio, con coraggio
andò da Pilato e chiese il corpo di Gesù. Pilato si meravigliò
che fosse già morto e, chiamato il centurione, gli domandò se
era morto da tempo. Informato dal centurione, concesse la
salma a Giuseppe. Egli allora, comprato un lenzuolo, lo depose dalla croce, lo avvolse con il lenzuolo e lo mise in un sepolcro scavato nella roccia. Poi fece rotolare una pietra all’entrata del sepolcro. Maria di Màgdala e Maria madre di Ioses
stavano a osservare dove veniva posto.
Parola del Signore.
"
