pagina,testo
80,"9-10-2007



IV DOMENICA
DI AVVENTO
PRIMA LETTURA
Ecco, la vergine concepirà e partorirà un figlio.

Dal libro del profeta Isaìa
7, 10-14

In quei giorni, il Signore parlò ad Àcaz: «Chiedi per

te un segno dal Signore, tuo Dio, dal profondo degli
inferi oppure dall’alto».

Ma Àcaz rispose: «Non lo chiederò, non voglio tentare il
Signore».
Allora Isaìa disse: «Ascoltate, casa di Davide! Non vi basta
stancare gli uomini, perché ora vogliate stancare anche il
mio Dio? Pertanto il Signore stesso vi darà un segno. Ecco: la
vergine concepirà e partorirà un figlio, che chiamerà Emmanuele».
Parola di Dio.
"
81,"9-10-2007




SALMO RESPONSORIALE
Dal Salmo 23 (24)

Ecco, viene il Signore, re della gloria.
Del Signore è la terra e quanto contiene:
il mondo, con i suoi abitanti.
È lui che l’ha fondato sui mari
e sui fiumi l’ha stabilito.
Chi potrà salire il monte del Signore?
Chi potrà stare nel suo luogo santo?
Chi ha mani innocenti e cuore puro,
chi non si rivolge agli idoli.
Egli otterrà benedizione dal Signore,
giustizia da Dio sua salvezza.
Ecco la generazione che lo cerca,
che cerca il tuo volto, Dio di Giacobbe.
"
82,"9-10-2007



IV DOMENICA

SECONDA LETTURA

Gesù Cristo, dal seme di Davide, Figlio di Dio.

Dalla lettera di san Paolo apostolo ai Romani
1, 1-7

Paolo, servo di Cristo Gesù, apostolo per chiamata,

scelto per annunciare il vangelo di Dio – che egli
aveva promesso per mezzo dei suoi profeti nelle
sacre Scritture e che riguarda il Figlio suo, nato dal seme di
Davide secondo la carne, costituito Figlio di Dio con potenza,
secondo lo Spirito di santità, in virtù della risurrezione dei
morti, Gesù Cristo nostro Signore; per mezzo di lui abbiamo
ricevuto la grazia di essere apostoli, per suscitare l’obbedienza della fede in tutte le genti, a gloria del suo nome, e tra
queste siete anche voi, chiamati da Gesù Cristo –, a tutti
quelli che sono a Roma, amati da Dio e santi per chiamata,
grazia a voi e pace da Dio, Padre nostro, e dal Signore Gesù
Cristo!
Parola di Dio.
CANTO AL VANGELO
Mt 1, 23

Alleluia, alleluia.
Ecco la vergine concepirà e darà alla luce un figlio:
a lui sarà dato il nome di Emmanuele: “Dio con noi”.
Alleluia.
"
83,"9-10-2007




VANGELO
Gesù nascerà da Maria, sposa di Giuseppe,
della stirpe di Davide.

Dal Vangelo secondo Matteo
1, 18-24

Così fu generato Gesù Cristo: sua madre Maria, essendo promessa sposa di Giuseppe, prima che

andassero a vivere insieme si trovò incinta per
opera dello Spirito Santo. Giuseppe suo sposo,
poiché era uomo giusto e non voleva accusarla
pubblicamente, pensò di ripudiarla in segreto.

Però, mentre stava considerando queste cose, ecco, gli apparve in sogno un angelo del Signore e gli disse: «Giuseppe,
figlio di Davide, non temere di prendere con te Maria, tua
sposa. Infatti il bambino che è generato in lei viene dallo
Spirito Santo; ella darà alla luce un figlio e tu lo chiamerai
Gesù: egli infatti salverà il suo popolo dai suoi peccati».
Tutto questo è avvenuto perché si compisse ciò che era stato
detto dal Signore per mezzo del profeta: «Ecco, la vergine
concepirà e darà alla luce un figlio: a lui sarà dato il nome di
Emmanuele», che significa “Dio con noi”.
Quando si destò dal sonno, Giuseppe fece come gli aveva
ordinato l’angelo del Signore e prese con sé la sua sposa.
Parola del Signore.
"
84,
85,"9-10-2007



TEMPO
DI NATALE"
86,9-10-2007
87,"9-10-2007



NATALE
DEL SIGNORE
Alla Messa vespertina nella vigilia
Queste letture vengono proclamate nella Messa che si celebra la sera del
24 dicembre, sia prima che dopo i Primi Vespri del Natale.

PRIMA LETTURA

Il Signore troverà in te la sua delizia.

Dal libro del profeta Isaìa
62, 1-5

Per amore di Sion non tacerò,

per amore di Gerusalemme non mi concederò riposo,
finché non sorga come aurora la sua giustizia
e la sua salvezza non risplenda come lampada.
Allora le genti vedranno la tua giustizia,
tutti i re la tua gloria;
sarai chiamata con un nome nuovo,
che la bocca del Signore indicherà.
Sarai una magnifica corona nella mano del Signore,
un diadema regale nella palma del tuo Dio.
Nessuno ti chiamerà più Abbandonata,
né la tua terra sarà più detta Devastata,
ma sarai chiamata Mia Gioia
e la tua terra Sposata,
perché il Signore troverà in te la sua delizia
e la tua terra avrà uno sposo."
88,"9-10-2007



NATALE DEL SIGNORE

Sì, come un giovane sposa una vergine,
così ti sposeranno i tuoi figli;
come gioisce lo sposo per la sposa,
così il tuo Dio gioirà per te.
Parola di Dio.

SALMO RESPONSORIALE
Dal Salmo 88 (89)

Canterò per sempre l’amore del Signore.
«Ho stretto un’alleanza con il mio eletto,
ho giurato a Davide, mio servo.
Stabilirò per sempre la tua discendenza,
di generazione in generazione edificherò il tuo trono».
Beato il popolo che ti sa acclamare:
camminerà, Signore, alla luce del tuo volto;
esulta tutto il giorno nel tuo nome,
si esalta nella tua giustizia.
«Egli mi invocherà: “Tu sei mio padre,
mio Dio e roccia della mia salvezza”.
Gli conserverò sempre il mio amore,
la mia alleanza gli sarà fedele».
"
89,"9-10-2007



MESSA VESPERTINA NELLA VIGILIA

SECONDA LETTURA

Testimonianza di Paolo a Cristo, figlio di Davide.

Dagli Atti degli Apostoli
13, 16-17.22-25

Paolo, [giunto ad Antiòchia di Pisìdia, nella sinagoga,] si alzò e, fatto cenno con la mano, disse:


«Uomini d’Israele e voi timorati di Dio, ascoltate. Il
Dio di questo popolo d’Israele scelse i nostri padri e rialzò il
popolo durante il suo esilio in terra d’Egitto, e con braccio
potente li condusse via di là.
Poi suscitò per loro Davide come re, al quale rese questa
testimonianza: “Ho trovato Davide, figlio di Iesse, uomo secondo il mio cuore; egli adempirà tutti i miei voleri”.
Dalla discendenza di lui, secondo la promessa, Dio inviò, come
salvatore per Israele, Gesù. Giovanni aveva preparato la sua
venuta predicando un battesimo di conversione a tutto il
popolo d’Israele.
Diceva Giovanni sul finire della sua missione: “Io non sono
quello che voi pensate! Ma ecco, viene dopo di me uno, al
quale io non sono degno di slacciare i sandali”».
Parola di Dio.
"
90,"9-10-2007



NATALE DEL SIGNORE

CANTO AL VANGELO
Alleluia, alleluia.
Domani sarà distrutto il peccato della terra
e regnerà su di noi il Salvatore del mondo.
Alleluia.

VANGELO
Genealogia di Gesù Cristo, figlio di Davide.

Dal Vangelo secondo Matteo
1, 1-25

Genealogia di Gesù Cristo figlio di Davide, figlio

di Abramo.

Abramo generò Isacco, Isacco generò Giacobbe,
Giacobbe generò Giuda e i suoi fratelli, Giuda
generò Fares e Zara da Tamar, Fares generò
Esrom, Esrom generò Aram, Aram generò Aminadàb, Aminadàb generò Naassòn, Naassòn generò Salmon, Salmon generò Booz da Racab, Booz generò Obed da Rut, Obed generò
Iesse, Iesse generò il re Davide.
Davide generò Salomone da quella che era stata la moglie di
Urìa, Salomone generò Roboamo, Roboamo generò Abìa, Abìa
"
91,"9-10-2007



MESSA VESPERTINA NELLA VIGILIA

generò Asaf, Asaf generò Giòsafat, Giòsafat generò Ioram,
Ioram generò Ozìa, Ozìa generò Ioatàm, Ioatàm generò Àcaz,
Àcaz generò Ezechìa, Ezechìa generò Manasse, Manasse generò
Amos, Amos generò Giosìa, Giosìa generò Ieconìa e i suoi fratelli,
al tempo della deportazione in Babilonia.
Dopo la deportazione in Babilonia, Ieconìa generò Salatièl,
Salatièl generò Zorobabele, Zorobabele generò Abiùd, Abiùd
generò Eliachìm, Eliachìm generò Azor, Azor generò Sadoc, Sadoc generò Achim, Achim generò Eliùd, Eliùd generò Eleàzar,
Eleàzar generò Mattan, Mattan generò Giacobbe, Giacobbe generò Giuseppe, lo sposo di Maria, dalla quale è nato Gesù,
chiamato Cristo.
In tal modo, tutte le generazioni da Abramo a Davide sono
quattordici, da Davide fino alla deportazione in Babilonia quattordici, dalla deportazione in Babilonia a Cristo quattordici.
Così fu generato Gesù Cristo: sua madre Maria, essendo promessa sposa di Giuseppe, prima che andassero a vivere insieme
si trovò incinta per opera dello Spirito Santo. Giuseppe suo
sposo, poiché era uomo giusto e non voleva accusarla pubblicamente, pensò di ripudiarla in segreto.
Mentre però stava considerando queste cose, ecco, gli apparve
in sogno un angelo del Signore e gli disse: «Giuseppe, figlio
di Davide, non temere di prendere con te Maria, tua sposa.
Infatti il bambino che è generato in lei viene dallo Spirito
Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli
infatti salverà il suo popolo dai suoi peccati».
Tutto questo è avvenuto perché si compisse ciò che era stato
detto dal Signore per mezzo del profeta: «Ecco, la vergine
"
92,"9-10-2007



NATALE DEL SIGNORE

concepirà e darà alla luce un figlio: a lui sarà dato il nome di
Emmanuele», che significa «Dio con noi».
Quando si destò dal sonno, Giuseppe fece come gli aveva ordinato l’angelo del Signore e prese con sé la sua sposa; senza
che egli la conoscesse, ella diede alla luce un figlio ed egli lo
chiamò Gesù.
Parola del Signore.

Forma breve:
Maria darà alla luce un figlio,
e tu lo chiamerai Gesù.

Dal Vangelo secondo Matteo

C1, 18-25


osì fu generato Gesù Cristo: sua madre Maria,
essendo promessa sposa di Giuseppe, prima che
andassero a vivere insieme si trovò incinta per
opera dello Spirito Santo. Giuseppe suo sposo,
poiché era uomo giusto e non voleva accusarla
pubblicamente, pensò di ripudiarla in segreto.

Mentre però stava considerando queste cose, ecco, gli apparve
in sogno un angelo del Signore e gli disse: «Giuseppe, figlio
di Davide, non temere di prendere con te Maria, tua sposa.
Infatti il bambino che è generato in lei viene dallo Spirito
Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli
infatti salverà il suo popolo dai suoi peccati».
"
93,"9-10-2007



MESSA VESPERTINA NELLA VIGILIA

Tutto questo è avvenuto perché si compisse ciò che era stato
detto dal Signore per mezzo del profeta: «Ecco, la vergine
concepirà e darà alla luce un figlio: a lui sarà dato il nome di
Emmanuele», che significa «Dio con noi».
Quando si destò dal sonno, Giuseppe fece come gli aveva
ordinato l’angelo del Signore e prese con sé la sua sposa; senza
che egli la conoscesse, ella diede alla luce un figlio ed egli lo
chiamò Gesù.
Parola del Signore.

Per le Messe di Natale si usano i tre formulari qui indicati, così come sono
disposti. Tuttavia è consentito scegliere, tra le letture delle tre Messe –
sempre nel loro ordine (Antico Testamento, Apostolo, Vangelo) – quelle
ritenute pastoralmente più adatte all’assemblea che partecipa.
"
94,"9-10-2007



NATALE
DEL SIGNORE
Alla Messa della notte

PRIMA LETTURA
Ci è stato dato un figlio.

Dal libro del profeta Isaìa
9, 1-6

Il popolo che camminava nelle tenebre

ha visto una grande luce;
su coloro che abitavano in terra tenebrosa
una luce rifulse.
Hai moltiplicato la gioia,
hai aumentato la letizia.
Gioiscono davanti a te
come si gioisce quando si miete
e come si esulta quando si divide la preda.
Perché tu hai spezzato il giogo che l’opprimeva,
la sbarra sulle sue spalle,
e il bastone del suo aguzzino,
come nel giorno di Màdian.
Perché ogni calzatura di soldato che marciava rimbombando
e ogni mantello intriso di sangue
Perché un bambino è nato per noi,
ci è stato dato un figlio.
Sulle sue spalle è il potere"
95,"9-10-2007



MESSA DELLA NOTTE

e il suo nome sarà:
Consigliere mirabile, Dio potente,
Padre per sempre, Principe della pace.
Grande sarà il suo potere
e la pace non avrà fine
sul trono di Davide e sul suo regno,
che egli viene a consolidare e rafforzare
con il diritto e la giustizia, ora e per sempre.
Questo farà lo zelo del Signore degli eserciti.
Parola di Dio.

SALMO RESPONSORIALE
Dal Salmo 95 (96)

Oggi è nato per noi il Salvatore.
Cantate al Signore un canto nuovo,
cantate al Signore, uomini di tutta la terra.
Cantate al Signore, benedite il suo nome.
Annunciate di giorno in giorno la sua salvezza.
In mezzo alle genti narrate la sua gloria,
a tutti i popoli dite le sue meraviglie.
Gioiscano i cieli, esulti la terra,
risuoni il mare e quanto racchiude;
sia in festa la campagna e quanto contiene,
acclamino tutti gli alberi della foresta.
"
96,"9-10-2007



NATALE DEL SIGNORE

Davanti al Signore che viene:
sì, egli viene a giudicare la terra;
giudicherà il mondo con giustizia
e nella sua fedeltà i popoli.

SECONDA LETTURA

È apparsa la grazia di Dio per tutti gli uomini.

Dalla lettera di san Paolo apostolo a Tito
2, 11-14

Figlio mio, è apparsa la grazia di Dio, che porta salvezza a tutti gli uomini e ci insegna a rinnegare

l’empietà e i desideri mondani e a vivere in questo
mondo con sobrietà, con giustizia e con pietà, nell’attesa della
beata speranza e della manifestazione della gloria del nostro
grande Dio e salvatore Gesù Cristo.
Egli ha dato se stesso per noi, per riscattarci da ogni iniquità
e formare per sé un popolo puro che gli appartenga, pieno di
zelo per le opere buone.
Parola di Dio.
"
97,"9-10-2007



MESSA DELLA NOTTE

CANTO AL VANGELO
Lc 2, 10-11

Alleluia, alleluia.
Vi annuncio una grande gioia:
oggi è nato per voi un Salvatore, Cristo Signore.
Alleluia.
VANGELO
Oggi è nato per voi il Salvatore.

Dal Vangelo secondo Luca
2, 1-14

In quei giorni un decreto di Cesare Augusto ordinò che si facesse il censimento di tutta la

terra. Questo primo censimento fu fatto quando
Quirinio era governatore della Siria. Tutti andavano a farsi censire, ciascuno nella propria
città.

Anche Giuseppe, dalla Galilea, dalla città di Nàzaret, salì in
Giudea alla città di Davide chiamata Betlemme: egli apparteneva infatti alla casa e alla famiglia di Davide. Doveva farsi
censire insieme a Maria, sua sposa, che era incinta.
Mentre si trovavano in quel luogo, si compirono per lei i giorni
del parto. Diede alla luce il suo figlio primogenito, lo avvolse
"
98,"9-10-2007



NATALE DEL SIGNORE

in fasce e lo pose in una mangiatoia, perché per loro non c’era posto nell’alloggio.
C’erano in quella regione alcuni pastori che, pernottando all’aperto, vegliavano tutta la notte facendo la guardia al loro
gregge. Un angelo del Signore si presentò a loro e la gloria
del Signore li avvolse di luce. Essi furono presi da grande
timore, ma l’angelo disse loro: «Non temete: ecco, vi annuncio una grande gioia, che sarà di tutto il popolo: oggi, nella
città di Davide, è nato per voi un Salvatore, che è Cristo Signore.
Questo per voi il segno: troverete un bambino avvolto in
fasce, adagiato in una mangiatoia».
E subito apparve con l’angelo una moltitudine dell’esercito
celeste, che lodava Dio e diceva:
«Gloria a Dio nel più alto dei cieli
e sulla terra pace agli uomini, che egli ama».
Parola del Signore.
"
99,"9-10-2007



NATALE
DEL SIGNORE
Alla Messa dell’aurora

PRIMA LETTURA
Ecco, arriva il tuo Salvatore.

Dal libro del profeta Isaìa
62, 11-12

Ecco ciò che il Signore fa sentire

all’estremità della terra:

«Dite alla figlia di Sion:
Ecco, arriva il tuo salvatore;
ecco, egli ha con sé il premio
e la sua ricompensa lo precede.
Li chiameranno Popolo santo,
Redenti del Signore.
E tu sarai chiamata Ricercata,
Città non abbandonata».
Parola di Dio.
"
100,"9-10-2007



NATALE DEL SIGNORE

SALMO RESPONSORIALE
Dal Salmo 96 (97)

Oggi la luce risplende su di noi.
Il Signore regna: esulti la terra,
gioiscano le isole tutte.
Annunciano i cieli la sua giustizia
e tutti i popoli vedono la sua gloria.
Una luce è spuntata per il giusto,
una gioia per i retti di cuore.
Gioite, giusti, nel Signore,
della sua santità celebrate il ricordo.
"
101,
102,"9-10-2007



MESSA DELL’AURORA

SECONDA LETTURA

Ci ha salvati per la sua misericordia.

Dalla lettera di san Paolo apostolo a Tito
3, 4-7

Figlio mio,

quando apparvero la bontà di Dio, salvatore nostro,
e il suo amore per gli uomini,
egli ci ha salvati,
non per opere giuste da noi compiute,
ma per la sua misericordia,
con un’acqua che rigenera e rinnova nello Spirito Santo,
che Dio ha effuso su di noi in abbondanza
per mezzo di Gesù Cristo, salvatore nostro,
affinché, giustificati per la sua grazia,
diventassimo, nella speranza, eredi della vita eterna.
Parola di Dio.

CANTO AL VANGELO
Lc 2, 14

Alleluia, alleluia.
Gloria a Dio nel più alto dei cieli
e sulla terra pace agli uomini, che egli ama.
Alleluia.
"
103,"9-10-2007



NATALE DEL SIGNORE

VANGELO
I pastori trovarono Maria e Giuseppe
e il bambino.

Dal Vangelo secondo Luca
2, 15-20

Appena gli angeli si furono allontanati da loro,

verso il cielo, i pastori dicevano l’un l’altro:
«Andiamo dunque fino a Betlemme, vediamo
questo avvenimento che il Signore ci ha fatto
conoscere».

Andarono, senza indugio, e trovarono Maria e Giuseppe e il
bambino, adagiato nella mangiatoia. E dopo averlo visto, riferirono ciò che del bambino era stato detto loro.
Tutti quelli che udivano si stupirono delle cose dette loro dai
pastori. Maria, da parte sua, custodiva tutte queste cose, meditandole nel suo cuore.
I pastori se ne tornarono, glorificando e lodando Dio per tutto quello che avevano udito e visto, com’era stato detto loro.
Parola del Signore.
"
104,"9-10-2007



NATALE
DEL SIGNORE
Alla Messa del giorno

PRIMA LETTURA
Tutti i confini della terra
vedranno la salvezza del nostro Dio.

Dal libro del profeta Isaìa
52, 7-10

Come sono belli sui monti

i piedi del messaggero che annuncia la pace,
del messaggero di buone notizie che annuncia la salvezza,
che dice a Sion: «Regna il tuo Dio».
Una voce! Le tue sentinelle alzano la voce,
insieme esultano,
poiché vedono con gli occhi
il ritorno del Signore a Sion.
Prorompete insieme in canti di gioia,
rovine di Gerusalemme,
perché il Signore ha consolato il suo popolo,
ha riscattato Gerusalemme.
Il Signore ha snudato il suo santo braccio
davanti a tutte le nazioni;
tutti i confini della terra vedranno
la salvezza del nostro Dio.
Parola di Dio.
"
105,"9-10-2007



NATALE DEL SIGNORE

SALMO RESPONSORIALE
Dal Salmo 97 (98)

Tutta la terra ha veduto la salvezza del nostro Dio.
Cantate al Signore un canto nuovo,
perché ha compiuto meraviglie.
Gli ha dato vittoria la sua destra
e il suo braccio santo.
Il Signore ha fatto conoscere la sua salvezza,
agli occhi delle genti ha rivelato la sua giustizia.
Egli si è ricordato del suo amore,
della sua fedeltà alla casa d’Israele.
Tutti i confini della terra hanno veduto
la vittoria del nostro Dio.
Acclami il Signore tutta la terra,
gridate, esultate, cantate inni!
Cantate inni al Signore con la cetra,
con la cetra e al suono di strumenti a corde;
con le trombe e al suono del corno
acclamate davanti al re, il Signore.
"
106,"9-10-2007



MESSA DEL GIORNO

SECONDA LETTURA

Dio ha parlato a noi per mezzo del Figlio.

Dalla lettera agli Ebrei
1, 1-6

Dio, che molte volte e in diversi modi nei tempi antichi

aveva parlato ai padri per mezzo dei profeti, ultimamente, in questi giorni, ha parlato a noi per mezzo
del Figlio, che ha stabilito erede di tutte le cose e mediante
il quale ha fatto anche il mondo.
Egli è irradiazione della sua gloria e impronta della sua sostanza, e tutto sostiene con la sua parola potente. Dopo aver
compiuto la purificazione dei peccati, sedette alla destra della
maestà nell’alto dei cieli, divenuto tanto superiore agli angeli
quanto più eccellente del loro è il nome che ha ereditato.
Infatti, a quale degli angeli Dio ha mai detto: «Tu sei mio
figlio, oggi ti ho generato»? E ancora: «Io sarò per lui padre
ed egli sarà per me figlio»? Quando invece introduce il primogenito nel mondo, dice: «Lo adorino tutti gli angeli di
Dio».
Parola di Dio.
"
107,"9-10-2007



NATALE DEL SIGNORE

CANTO AL VANGELO
Alleluia, alleluia.
Un giorno santo è spuntato per noi:
venite tutti ad adorare il Signore;
oggi una splendida luce è discesa sulla terra.
Alleluia.

VANGELO
Il Verbo si fece carne
e venne ad abitare in mezzo a noi.

Dal Vangelo secondo Giovanni
1, 1-18

In principio era il Verbo,

e il Verbo era presso Dio
e il Verbo era Dio.

Egli era, in principio, presso Dio:
tutto è stato fatto per mezzo di lui
e senza di lui nulla è stato fatto di ciò che esiste.
In lui era la vita
e la vita era la luce degli uomini;
la luce splende nelle tenebre
e le tenebre non l’hanno vinta.
"
108,"9-10-2007



MESSA DEL GIORNO

Venne un uomo mandato da Dio:
il suo nome era Giovanni.
Egli venne come testimone
per dare testimonianza alla luce,
perché tutti credessero per mezzo di lui.
Non era lui la luce,
ma doveva dare testimonianza alla luce.
Veniva nel mondo la luce vera,
quella che illumina ogni uomo.
Era nel mondo
e il mondo è stato fatto per mezzo di lui;
eppure il mondo non lo ha riconosciuto.
Venne fra i suoi,
ha dato potere di diventare figli di Dio:
a quelli che credono nel suo nome,
i quali, non da sangue
né da volere di carne
né da volere di uomo,
ma da Dio sono stati generati.
E il Verbo si fece carne
e venne ad abitare in mezzo a noi;
e noi abbiamo contemplato la sua gloria,
gloria come del Figlio unigenito
che viene dal Padre,
pieno di grazia e di verità.
Giovanni gli dà testimonianza e proclama:
«Era di lui che io dissi:
"
109,"9-10-2007



NATALE DEL SIGNORE

Colui che viene dopo di me
è avanti a me,
perché era prima di me».
Dalla sua pienezza
noi tutti abbiamo ricevuto:
grazia su grazia.
Perché la Legge fu data per mezzo di Mosè,
la grazia e la verità vennero per mezzo di Gesù Cristo.
Dio, nessuno lo ha mai visto:
il Figlio unigenito, che è Dio
ed è nel seno del Padre,
è lui che lo ha rivelato.
Parola del Signore.

Forma breve:
Il Verbo si fece carne
e venne ad abitare in mezzo a noi.

Dal Vangelo secondo Giovanni
1, 1-5.9-14

In principio era il Verbo,

e il Verbo era presso Dio
e il Verbo era Dio.

Egli era, in principio, presso Dio:
tutto è stato fatto per mezzo di lui
e senza di lui nulla è stato fatto di ciò che esiste."
110,"9-10-2007



MESSA DEL GIORNO

In lui era la vita
e la vita era la luce degli uomini;
la luce splende nelle tenebre
e le tenebre non l’hanno vinta.
Veniva nel mondo la luce vera,
quella che illumina ogni uomo.
Era nel mondo
e il mondo è stato fatto per mezzo di lui;
eppure il mondo non lo ha riconosciuto.
Venne fra i suoi,
ha dato potere di diventare figli di Dio:
a quelli che credono nel suo nome,
i quali, non da sangue
né da volere di carne
né da volere di uomo,
ma da Dio sono stati generati.
E il Verbo si fece carne
e venne ad abitare in mezzo a noi;
e noi abbiamo contemplato la sua gloria,
gloria come del Figlio unigenito
che viene dal Padre,
pieno di grazia e di verità.
Parola del Signore.
"
111,"9-10-2007



DOMENICA FRA L’OTTAVA DEL NATALE

SANTA FAMIGLIA DI GESÙ
MARIA E GIUSEPPE
PRIMA LETTURA
Chi teme il Signore onora i genitori.

Dal libro del Siràcide
3, 3-7.14-17a (NV) [gr. 3, 2-6.12-14]

Il Signore ha glorificato il padre al di sopra dei figli

e ha stabilito il diritto della madre sulla prole.

Chi onora il padre espìa i peccati e li eviterà
e la sua preghiera quotidiana sarà esaudita.
Chi onora sua madre è come chi accumula tesori.
Chi onora il padre avrà gioia dai propri figli
e sarà esaudito nel giorno della sua preghiera.
Chi glorifica il padre vivrà a lungo,
chi obbedisce al Signore darà consolazione alla madre.
Figlio, soccorri tuo padre nella vecchiaia,
non contristarlo durante la sua vita.
Sii indulgente, anche se perde il senno,
e non disprezzarlo, mentre tu sei nel pieno vigore.
L’opera buona verso il padre non sarà dimenticata,
otterrà il perdono dei peccati, rinnoverà la tua casa.
Parola di Dio.
"
112,"9-10-2007



SANTA FAMIGLIA DI GESÙ, MARIA E GIUSEPPE

SALMO RESPONSORIALE
Dal Salmo 127 (128)

Beato chi teme il Signore e cammina nelle sue vie.
Beato chi teme il Signore
e cammina nelle sue vie.
Della fatica delle tue mani ti nutrirai,
sarai felice e avrai ogni bene.
La tua sposa come vite feconda
nell’intimità della tua casa;
i tuoi figli come virgulti d’ulivo
intorno alla tua mensa.
Ecco com’è benedetto
l’uomo che teme il Signore.
Ti benedica il Signore da Sion.
Possa tu vedere il bene di Gerusalemme
tutti i giorni della tua vita!
"
113,"9-10-2007




SECONDA LETTURA

Vita familiare cristiana,
secondo il comandamento dell’amore.

Dalla lettera di san Paolo apostolo ai Colossési
3, 12-21

Fratelli, scelti da Dio, santi e amati, rivestitevi di

sentimenti di tenerezza, di bontà, di umiltà, di mansuetudine, di magnanimità, sopportandovi a vicenda
e perdonandovi gli uni gli altri, se qualcuno avesse di che lamentarsi nei riguardi di un altro.
Come il Signore vi ha perdonato, così fate anche voi. Ma
sopra tutte queste cose rivestitevi della carità, che le unisce
in modo perfetto. E la pace di Cristo regni nei vostri cuori,
perché ad essa siete stati chiamati in un solo corpo. E rendete grazie!
La parola di Cristo abiti tra voi nella sua ricchezza. Con ogni
sapienza istruitevi e ammonitevi a vicenda con salmi, inni e
canti ispirati, con gratitudine, cantando a Dio nei vostri cuori.
E qualunque cosa facciate, in parole e in opere, tutto avvenga
nel nome del Signore Gesù, rendendo per mezzo di lui grazie
a Dio Padre.
Voi, mogli, state sottomesse ai mariti, come conviene nel Signore. Voi, mariti, amate le vostre mogli e non trattatele con
durezza. Voi, figli, obbedite ai genitori in tutto; ciò è gradito
al Signore. Voi, padri, non esasperate i vostri figli, perché
non si scoraggino.
Parola di Dio.
"
114,"9-10-2007



SANTA FAMIGLIA DI GESÙ, MARIA E GIUSEPPE

CANTO AL VANGELO
Col 3, 15a.16a

Alleluia, alleluia.
La pace di Cristo regni nei vostri cuori;
la parola di Cristo abiti tra voi nella sua ricchezza.
Alleluia.

VANGELO
Prendi con te il bambino e sua madre
e fuggi in Egitto.

Dal Vangelo secondo Matteo
2, 13-15.19-23

IMagi erano appena partiti, quando un angelo

del Signore apparve in sogno a Giuseppe e gli
disse: «Àlzati, prendi con te il bambino e sua
madre, fuggi in Egitto e resta là finché non ti
avvertirò: Erode infatti vuole cercare il bambino
per ucciderlo».

Egli si alzò, nella notte, prese il bambino e sua madre e si
rifugiò in Egitto, dove rimase fino alla morte di Erode, perché
si compisse ciò che era stato detto dal Signore per mezzo del
profeta: «Dall’Egitto ho chiamato mio figlio».
"
115,"9-10-2007




Morto Erode, ecco, un angelo del Signore apparve in sogno a
Giuseppe in Egitto e gli disse: «Àlzati, prendi con te il bambino e sua madre e va’ nella terra d’Israele; sono morti infatti
quelli che cercavano di uccidere il bambino».
Egli si alzò, prese il bambino e sua madre ed entrò nella terra
d’Israele. Ma, quando venne a sapere che nella Giudea regnava
Archelao al posto di suo padre Erode, ebbe paura di andarvi.
Avvertito poi in sogno, si ritirò nella regione della Galilea e
andò ad abitare in una città chiamata Nàzaret, perché si compisse ciò che era stato detto per mezzo dei profeti: «Sarà
chiamato Nazareno».
Parola del Signore.
"
116,"9-10-2007



1 GENNAIO

SOLENNITÀ DI MARIA SANTISSIMA
MADRE DI DIO
PRIMA LETTURA
Porranno il mio nome sugli Israeliti
e io li benedirò.

Dal libro dei Numeri
6, 22-27

Il Signore parlò a Mosè e disse: «Parla ad Aronne e ai

suoi figli dicendo: “Così benedirete gli Israeliti: direte loro:

Ti benedica il Signore
e ti custodisca.
Il Signore faccia risplendere per te il suo volto
e ti faccia grazia.
Il Signore rivolga a te il suo volto
e ti conceda pace”.
Così porranno il mio nome sugli Israeliti e io li benedirò».
Parola di Dio.
"
117,"9-10-2007



1 GENNAIO

SALMO RESPONSORIALE
Dal Salmo 66 (67)

Dio abbia pietà di noi e ci benedica.
Dio abbia pietà di noi e ci benedica,
su di noi faccia splendere il suo volto;
perché si conosca sulla terra la tua via,
la tua salvezza fra tutte le genti.
Gioiscano le nazioni e si rallegrino,
perché tu giudichi i popoli con rettitudine,
governi le nazioni sulla terra.
Ti lodino i popoli, o Dio,
ti lodino i popoli tutti.
Ci benedica Dio e lo temano
tutti i confini della terra.
"
118,
119,"9-10-2007



SOLENNITÀ DI MARIA SS. MADRE DI DIO

SECONDA LETTURA

Dio mandò il suo Figlio, nato da donna.

Dalla lettera di san Paolo apostolo ai Gàlati
4, 4-7

Fratelli, quando venne la pienezza del tempo, Dio

mandò il suo Figlio, nato da donna, nato sotto la
Legge, per riscattare quelli che erano sotto la Legge,
perché ricevessimo l’adozione a figli.
E che voi siete figli lo prova il fatto che Dio mandò nei nostri
cuori lo Spirito del suo Figlio, il quale grida: «Abbà! Padre!».
Quindi non sei più schiavo, ma figlio e, se figlio, sei anche
erede per grazia di Dio.
Parola di Dio.

CANTO AL VANGELO
Eb 1,1-2

Alleluia, alleluia.
Molte volte e in diversi modi nei tempi antichi
Dio ha parlato ai padri per mezzo dei profeti;
ultimamente, in questi giorni,
ha parlato a noi per mezzo del Figlio.
Alleluia.
"
